dataset,method,scope,structure,source_structure,metric,mean,std,n_cases,source_file
ACDC,SAM3-Full,overall,overall,,hd95,3.07,2.3,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,overall,overall,,iou,0.8709,0.0461,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,overall,overall,,nsd,0.9657,0.0308,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,per_structure,right ventricle,right ventricle,dsc,0.9179,0.0561,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,per_structure,right ventricle,right ventricle,hd95,4.78,3.98,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,per_structure,right ventricle,right ventricle,iou,0.853,0.0902,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Full,per_structure,right ventricle,right ventricle,nsd,0.9405,0.0561,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,per_structure,left ventricle,left ventricle,dsc,0.9395,0.0392,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,per_structure,left ventricle,left ventricle,hd95,3.75,6.66,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,per_structure,left ventricle,left ventricle,iou,0.8882,0.0655,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,per_structure,left ventricle,left ventricle,nsd,0.9635,0.0442,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,per_structure,myocardium,myocardium,dsc,0.9036,0.0257,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,per_structure,myocardium,myocardium,hd95,2.39,2.1,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,per_structure,myocardium,myocardium,iou,0.8252,0.0423,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,per_structure,myocardium,myocardium,nsd,0.9686,0.0263,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,overall,overall,,dsc,0.9161,0.0364,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,overall,overall,,hd95,3.47,3.13,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,overall,overall,,iou,0.8494,0.0543,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,overall,overall,,nsd,0.9542,0.0422,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,per_structure,right ventricle,right ventricle,dsc,0.9053,0.0778,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,per_structure,right ventricle,right ventricle,hd95,4.27,4.22,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,per_structure,right ventricle,right ventricle,iou,0.8347,0.1092,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
ACDC,SAM3-Scribble,per_structure,right ventricle,right ventricle,nsd,0.9306,0.0731,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_acdc_0.7/evaluation_results_acdc.json
BTCV_cervix,ScribbleBench,per_structure,bladder,bladder,dsc,0.9449,0.0123,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,bladder,bladder,hd95,3.11,0.8,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,bladder,bladder,iou,0.8958,0.0222,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,bladder,bladder,nsd,0.8569,0.0559,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,overall,overall,,dsc,0.7468,0.0298,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,overall,overall,,hd95,24.17,9.89,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,overall,overall,,iou,0.6222,0.0357,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,overall,overall,,nsd,0.6202,0.0736,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,rectum,rectum,dsc,0.7102,0.119,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,rectum,rectum,hd95,30.15,24.87,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,rectum,rectum,iou,0.5636,0.1409,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,rectum,rectum,nsd,0.629,0.1277,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,small bowel,small_bowel,dsc,0.5496,0.0919,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
BTCV_cervix,ScribbleBench,per_structure,small bowel,small_bowel,hd95,44.15,32.07,6,/home/gaoqi/dataset/nnU-Net/results/Dataset121_BTCVS_CMPB/test_eval_summary_sam3_metrics.json
