dataset,method,scope,structure,source_structure,metric,mean,std,n_cases,source_file
BTCV_cervix,SAM3-Scribble,per_structure,small bowel,small bowel,iou,0.4687,0.1133,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,small bowel,small bowel,nsd,0.475,0.0594,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,uterus,uterus,dsc,0.753,0.0615,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,uterus,uterus,hd95,16.79,7.1,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,uterus,uterus,iou,0.6075,0.076,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
BTCV_cervix,SAM3-Scribble,per_structure,uterus,uterus,nsd,0.5891,0.0819,6,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_btcv_0.7/evaluation_results_btcv.json
PROMISE12,ScribbleBench,overall,overall,,dsc,0.889,0.029,30,/home/gaoqi/dataset/nnU-Net/results/Dataset122_PROMISES_CMPB/test_eval_summary_sam3_metrics.json
PROMISE12,ScribbleBench,overall,overall,,hd95,4.79,1.78,30,/home/gaoqi/dataset/nnU-Net/results/Dataset122_PROMISES_CMPB/test_eval_summary_sam3_metrics.json
PROMISE12,ScribbleBench,overall,overall,,iou,0.8014,0.0462,30,/home/gaoqi/dataset/nnU-Net/results/Dataset122_PROMISES_CMPB/test_eval_summary_sam3_metrics.json
PROMISE12,ScribbleBench,overall,overall,,nsd,0.8201,0.0592,30,/home/gaoqi/dataset/nnU-Net/results/Dataset122_PROMISES_CMPB/test_eval_summary_sam3_metrics.json
PROMISE12,ScribbleBench,per_structure,prostate,prostate,dsc,0.889,0.029,30,/home/gaoqi/dataset/nnU-Net/results/Dataset122_PROMISES_CMPB/test_eval_summary_sam3_metrics.json
PROMISE12,ScribbleBench,per_structure,prostate,prostate,hd95,4.79,1.78,30,/home/gaoqi/dataset/nnU-Net/results/Dataset122_PROMISES_CMPB/test_eval_summary_sam3_metrics.json
PROMISE12,ScribbleBench,per_structure,prostate,prostate,iou,0.8014,0.0462,30,/home/gaoqi/dataset/nnU-Net/results/Dataset122_PROMISES_CMPB/test_eval_summary_sam3_metrics.json
PROMISE12,ScribbleBench,per_structure,prostate,prostate,nsd,0.8201,0.0592,30,/home/gaoqi/dataset/nnU-Net/results/Dataset122_PROMISES_CMPB/test_eval_summary_sam3_metrics.json
PROMISE12,EFFDNet,overall,overall,,dsc,0.8769,0.0371,30,/home/gaoqi/EFFDNet/model/PROMISE12_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
PROMISE12,EFFDNet,overall,overall,,hd95,10.67,17.39,30,/home/gaoqi/EFFDNet/model/PROMISE12_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
PROMISE12,EFFDNet,overall,overall,,iou,0.7827,0.0574,30,/home/gaoqi/EFFDNet/model/PROMISE12_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
PROMISE12,EFFDNet,overall,overall,,nsd,0.7919,0.082,30,/home/gaoqi/EFFDNet/model/PROMISE12_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
PROMISE12,EFFDNet,per_structure,prostate,Prostate,dsc,0.8769,0.0371,30,/home/gaoqi/EFFDNet/model/PROMISE12_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
PROMISE12,EFFDNet,per_structure,prostate,Prostate,hd95,10.67,17.39,30,/home/gaoqi/EFFDNet/model/PROMISE12_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
PROMISE12,EFFDNet,per_structure,prostate,Prostate,iou,0.7827,0.0574,30,/home/gaoqi/EFFDNet/model/PROMISE12_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
PROMISE12,EFFDNet,per_structure,prostate,Prostate,nsd,0.7919,0.082,30,/home/gaoqi/EFFDNet/model/PROMISE12_CMPB/EFFDNet_cmpb/scribble/test_eval_summary.json
PROMISE12,ScribFormer,overall,overall,,dsc,0.7813,0.0806,30,/home/gaoqi/ScribFormer/model/PROMISE12_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
PROMISE12,ScribFormer,overall,overall,,hd95,12.91,9.14,30,/home/gaoqi/ScribFormer/model/PROMISE12_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
PROMISE12,ScribFormer,overall,overall,,iou,0.6478,0.1051,30,/home/gaoqi/ScribFormer/model/PROMISE12_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
PROMISE12,ScribFormer,overall,overall,,nsd,0.5978,0.1346,30,/home/gaoqi/ScribFormer/model/PROMISE12_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
PROMISE12,ScribFormer,per_structure,prostate,prostate,dsc,0.7813,0.0806,30,/home/gaoqi/ScribFormer/model/PROMISE12_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
PROMISE12,ScribFormer,per_structure,prostate,prostate,hd95,12.91,9.14,30,/home/gaoqi/ScribFormer/model/PROMISE12_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
PROMISE12,ScribFormer,per_structure,prostate,prostate,iou,0.6478,0.1051,30,/home/gaoqi/ScribFormer/model/PROMISE12_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
PROMISE12,ScribFormer,per_structure,prostate,prostate,nsd,0.5978,0.1346,30,/home/gaoqi/ScribFormer/model/PROMISE12_CMPB/scribformer_cmpb/scribble/test_eval_summary.json
PROMISE12,BiomedParse v2,overall,overall,,dsc,0.8597,0.0631,30,/home/gaoqi/BiomedParse/gq_data/promise12/test/eval_results/promise12_v2_cmpb.json
PROMISE12,BiomedParse v2,overall,overall,,hd95,14.78,13.63,30,/home/gaoqi/BiomedParse/gq_data/promise12/test/eval_results/promise12_v2_cmpb.json
PROMISE12,BiomedParse v2,overall,overall,,iou,0.759,0.0929,30,/home/gaoqi/BiomedParse/gq_data/promise12/test/eval_results/promise12_v2_cmpb.json
PROMISE12,BiomedParse v2,overall,overall,,nsd,0.7601,0.1193,30,/home/gaoqi/BiomedParse/gq_data/promise12/test/eval_results/promise12_v2_cmpb.json
PROMISE12,BiomedParse v2,per_structure,prostate,Prostate,dsc,0.8597,0.0631,30,/home/gaoqi/BiomedParse/gq_data/promise12/test/eval_results/promise12_v2_cmpb.json
PROMISE12,BiomedParse v2,per_structure,prostate,Prostate,hd95,14.78,13.63,30,/home/gaoqi/BiomedParse/gq_data/promise12/test/eval_results/promise12_v2_cmpb.json
PROMISE12,BiomedParse v2,per_structure,prostate,Prostate,iou,0.759,0.0929,30,/home/gaoqi/BiomedParse/gq_data/promise12/test/eval_results/promise12_v2_cmpb.json
PROMISE12,BiomedParse v2,per_structure,prostate,Prostate,nsd,0.7601,0.1193,30,/home/gaoqi/BiomedParse/gq_data/promise12/test/eval_results/promise12_v2_cmpb.json
PROMISE12,VoxTell,overall,overall,,dsc,0.8081,0.1397,30,/home/gaoqi/VoxTell/gq_result/promise12/cmpb_test/evaluation_results_promise12_cmpb.json
PROMISE12,VoxTell,overall,overall,,hd95,27.61,31.18,30,/home/gaoqi/VoxTell/gq_result/promise12/cmpb_test/evaluation_results_promise12_cmpb.json
PROMISE12,VoxTell,overall,overall,,iou,0.6987,0.1773,30,/home/gaoqi/VoxTell/gq_result/promise12/cmpb_test/evaluation_results_promise12_cmpb.json
PROMISE12,VoxTell,overall,overall,,nsd,0.7106,0.1887,30,/home/gaoqi/VoxTell/gq_result/promise12/cmpb_test/evaluation_results_promise12_cmpb.json
PROMISE12,VoxTell,per_structure,prostate,prostate,dsc,0.8081,0.1397,30,/home/gaoqi/VoxTell/gq_result/promise12/cmpb_test/evaluation_results_promise12_cmpb.json
PROMISE12,VoxTell,per_structure,prostate,prostate,hd95,27.61,31.18,30,/home/gaoqi/VoxTell/gq_result/promise12/cmpb_test/evaluation_results_promise12_cmpb.json
PROMISE12,VoxTell,per_structure,prostate,prostate,iou,0.6987,0.1773,30,/home/gaoqi/VoxTell/gq_result/promise12/cmpb_test/evaluation_results_promise12_cmpb.json
PROMISE12,VoxTell,per_structure,prostate,prostate,nsd,0.7106,0.1887,30,/home/gaoqi/VoxTell/gq_result/promise12/cmpb_test/evaluation_results_promise12_cmpb.json
PROMISE12,SAT-Pro,overall,overall,,dsc,0.8802,0.0373,30,/home/gaoqi/SAT/gq_dataset/PROMISE12/test/results_pro_cmpb/results_promise12_cmpb.json
PROMISE12,SAT-Pro,overall,overall,,hd95,4.15,1.21,30,/home/gaoqi/SAT/gq_dataset/PROMISE12/test/results_pro_cmpb/results_promise12_cmpb.json
PROMISE12,SAT-Pro,overall,overall,,iou,0.7879,0.058,30,/home/gaoqi/SAT/gq_dataset/PROMISE12/test/results_pro_cmpb/results_promise12_cmpb.json
PROMISE12,SAT-Pro,overall,overall,,nsd,0.7982,0.0853,30,/home/gaoqi/SAT/gq_dataset/PROMISE12/test/results_pro_cmpb/results_promise12_cmpb.json
PROMISE12,SAT-Pro,per_structure,prostate,prostate,dsc,0.8802,0.0373,30,/home/gaoqi/SAT/gq_dataset/PROMISE12/test/results_pro_cmpb/results_promise12_cmpb.json
PROMISE12,SAT-Pro,per_structure,prostate,prostate,hd95,4.15,1.21,30,/home/gaoqi/SAT/gq_dataset/PROMISE12/test/results_pro_cmpb/results_promise12_cmpb.json
PROMISE12,SAT-Pro,per_structure,prostate,prostate,iou,0.7879,0.058,30,/home/gaoqi/SAT/gq_dataset/PROMISE12/test/results_pro_cmpb/results_promise12_cmpb.json
PROMISE12,SAT-Pro,per_structure,prostate,prostate,nsd,0.7982,0.0853,30,/home/gaoqi/SAT/gq_dataset/PROMISE12/test/results_pro_cmpb/results_promise12_cmpb.json
PROMISE12,SAM3-Full,overall,overall,,dsc,0.9153,0.0298,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Full,overall,overall,,hd95,6.05,6.76,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Full,overall,overall,,iou,0.8452,0.0495,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Full,overall,overall,,nsd,0.8739,0.0738,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Full,per_structure,prostate,Prostate,dsc,0.9153,0.0298,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Full,per_structure,prostate,Prostate,hd95,6.05,6.76,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Full,per_structure,prostate,Prostate,iou,0.8452,0.0495,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Full,per_structure,prostate,Prostate,nsd,0.8739,0.0738,30,/home/gaoqi/sam3/gq_experiment/cmpb/full_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Scribble,overall,overall,,dsc,0.9036,0.0345,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Scribble,overall,overall,,hd95,5.95,6.22,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Scribble,overall,overall,,iou,0.8258,0.0556,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Scribble,overall,overall,,nsd,0.8499,0.0729,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Scribble,per_structure,prostate,Prostate,dsc,0.9036,0.0345,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Scribble,per_structure,prostate,Prostate,hd95,5.95,6.22,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Scribble,per_structure,prostate,Prostate,iou,0.8258,0.0556,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
PROMISE12,SAM3-Scribble,per_structure,prostate,Prostate,nsd,0.8499,0.0729,30,/home/gaoqi/sam3/gq_experiment/cmpb/weak_lora_acdc_btcv_promise12/inference_promise12_0.7/evaluation_results_promise12.json
